variable,charge,p_min,p_max,cos_min,cos_max,threshold,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn
kaonID,-1,0.5,1,-0.866,-0.682,0.6,0.740546,0.0116055,0.0116055,1.72627e-05,0.000369535,0.722999,0.0132057,0.0132057,0.000506907,0.000506689,1.02427,0.024651,0.024651,0.00071853,0.000881198
kaonID,-1,1,1.5,-0.866,-0.682,0.6,0.2445,0.0110443,0.0110443,8.36361e-05,0.00014122,0.283752,0.0121419,0.0121419,0.000184916,0.000555229,0.861668,0.0536138,0.0536138,0.00063419,0.00175798
kaonID,-1,1.5,2,-0.866,-0.682,0.6,0.407067,0.0144433,0.0144433,0.000124764,0.000305121,0.514147,0.0153056,0.0153056,0.000124378,0.000570447,0.791733,0.0366694,0.0366694,0.000309141,0.0010601
kaonID,-1,2,2.5,-0.866,-0.682,0.6,0.486901,0.0193255,0.0193255,0.000265575,0.000305254,0.59316,0.0208958,0.0208958,0.000305505,0.000267279,0.820859,0.0435626,0.0435626,0.000615796,0.000633758
kaonID,-1,2.5,3,-0.866,-0.682,0.6,0.580226,0.0300858,0.0300858,0.00027696,3.13847e-05,0.644709,0.0317279,0.0317279,0.000145678,0.000303956,0.899981,0.0643377,0.0643377,0.000475291,0.000427091
kaonID,-1,3,3.5,-0.866,-0.682,0.6,0.616114,0.0573235,0.0573235,0.000621513,0.000500615,0.693796,0.052004,0.052004,0.000269217,0.000268324,0.888033,0.1061,0.1061,0.000959805,0.000799126
kaonID,-1,3.5,4.5,-0.866,-0.682,0.6,0.742489,0.33824,0.33824,0.000600271,0.000789089,0.605427,0.225808,0.225808,0.00134816,0.0011399,1.22639,0.722044,0.722044,0.00290533,0.0026515
kaonID,-1,0.5,1,-0.682,-0.4226,0.6,0.815792,0.0073666,0.0073666,0.000632398,0.00022044,0.830974,0.0083988,0.0083988,0.00137058,0.000263408,0.98173,0.0133058,0.0133058,0.00178916,0.00040892
kaonID,-1,1,1.5,-0.682,-0.4226,0.6,0.45357,0.0078583,0.0078583,0.000119704,0.000257021,0.535806,0.00922161,0.00922161,0.000223772,0.000310939,0.846519,0.0206728,0.0206728,0.000418211,0.000686609
kaonID,-1,1.5,2,-0.682,-0.4226,0.6,0.652706,0.00691598,0.00691598,0.000200367,0.000176301,0.693253,0.00797251,0.00797251,0.000200305,0.000348782,0.941512,0.0147227,0.0147227,0.000396911,0.000537633
