variable,charge,p_min,p_max,cos_min,cos_max,threshold,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn
kaonID,1,0.5,1,-0.866,-0.682,0.6,0.739268,0.0127232,0.0127232,0.000368439,0.000368106,0.702432,0.0136198,0.0136198,0.000365155,0.000309881,1.05244,0.0272855,0.0272855,0.000757921,0.000700134
kaonID,1,1,1.5,-0.866,-0.682,0.6,0.212375,0.0114108,0.0114108,8.95879e-05,0.000371197,0.205905,0.0114097,0.0114097,0.000396636,0.00017225,1.03142,0.0796095,0.0796095,0.00203392,0.00199861
kaonID,1,1.5,2,-0.866,-0.682,0.6,0.409368,0.0154436,0.0154436,0.000114856,0.000170408,0.466346,0.0158504,0.0158504,0.000429964,0.000145451,0.87782,0.0445742,0.0445742,0.000845982,0.000456602
kaonID,1,2,2.5,-0.866,-0.682,0.6,0.484757,0.0207816,0.0207816,0.000211251,0.000146942,0.548634,0.019464,0.019464,0.000173845,0.000223826,0.883571,0.0491672,0.0491672,0.000476077,0.00044908
kaonID,1,2.5,3,-0.866,-0.682,0.6,0.665449,0.030007,0.030007,7.78139e-05,0.000166964,0.642173,0.0283962,0.0283962,0.0004201,0.000383325,1.03625,0.0654451,0.0654451,0.000688641,0.000670976
kaonID,1,3,3.5,-0.866,-0.682,0.6,0.641273,0.0691095,0.0691095,0.000603968,0.00063544,0.695858,0.057001,0.057001,0.000425275,6.04979e-05,0.921557,0.124748,0.124748,0.00103467,0.000916683
kaonID,1,3.5,4.5,-0.866,-0.682,0.6,1,0.692902,0.692902,0.000604046,0,0.935817,0.203858,0.203858,0.00339681,0.000782863,1.06858,0.776154,0.776154,0.00393207,0.000893931
kaonID,1,0.5,1,-0.682,-0.4226,0.6,0.822255,0.00750561,0.00750561,0.000605243,0.000379629,0.828309,0.00851723,0.00851723,0.00340888,0.000293786,0.992691,0.0136492,0.0136492,0.00415022,0.000577947
kaonID,1,1,1.5,-0.682,-0.4226,0.6,0.431547,0.00827832,0.00827832,0.000612346,0.000248552,0.472197,0.00945149,0.00945149,0.000181008,0.000341525,0.913913,0.0253374,0.0253374,0.00134329,0.000844983
kaonID,1,1.5,2,-0.682,-0.4226,0.6,0.64846,0.0073093,0.0073093,0.000633654,0.000165475,0.682895,0.00794737,0.00794737,0.000285379,0.000233519,0.949575,0.0153846,0.0153846,0.00100919,0.000405159
